Data
"-17.1,-28.3,-255,Not Done"
"-18.7,-10.3,-255,Not Done"
"-23.0,15.6,-255,Not Done"
"-22.4,49.1,-255,Not Done"
"-21.3,86.0,-255,Not Done"
"-18.9,124.7,-255,Not Done"
"-18.7,159.6,-255,Not Done"
"-17.7,187.8,-255,Not Done"
"-15.1,211.7,-255,Not Done"
"-11.9,237.4,-255,Not Done"
"-9.3,249.2,-255,Not Done"
"-6.7,249.2,-121,Not Done"
"-4.2,249.2,15,Not Done"
"-2.6,249.2,103,Not Done"
"-1.3,249.2,174,Not Done"
"-0.2,249.2,239,Not Done"
"0.6,249.2,255,Not Done"
"2.3,241.4,255,Not Done"
"0.9,203.2,254,Not Done"
"1.8,151.8,253,Not Done"
"2.2,117.8,239,Not Done"
"2.2,84.1,205,Not Done"
"2.7,48.7,199,Not Done"
"2.5,22.6,158,Not Done"
"2.8,4.1,159,Not Done"
"3.5,-9.4,182,Not Done"
"3.6,-18.4,177,Not Done"
"4.4,-31.4,210,Not Done"
"4.5,-43.2,206,Not Done"
"5.3,-62.5,231,Not Done"
"5.8,-83.4,236,Not Done"
"5.9,-103.0,223,Not Done"
"6.1,-119.8,214,Not Done"
"6.4,-142.4,209,Not Done"
"6.9,-161.7,219,Not Done"
"7.4,-174.8,229,Not Done"
"7.1,-188.6,201,Not Done"
"7.7,-198.8,222,Not Done"
"7.2,-217.4,180,Not Done"
"6.9,-226.7,152,Not Done"
"6.1,-237.7,97,Not Done"
"5.2,-242.7,43,Not Done"
"4.4,-248.9,-7,Not Done"
"3.4,-242.4,-55,Not Done"
"2.4,-237.2,-103,Not Done"
"1.3,-229.5,-160,Not Done"
"1.4,-198.3,-119,Not Done"
"1.1,-178.0,-116,Not Done"
"0.2,-157.2,-145,Not Done"
"0.0,-129.9,-128,Not Done"
"0.0,-99.4,-99,Not Done"
"0.2,-74.1,-63,Not Done"
"0.7,-54.5,-18,Not Done"
"1.2,-35.2,32,Not Done"
"1.7,-24.5,70,Not Done"
"1.8,-22.5,75,Not Done"
"1.4,-28.6,49,Not Done"
"1.1,-28.7,33,Not Done"
"1.4,-36.4,43,Not Done"
"1.2,-48.0,16,Not Done"
"0.6,-56.2,-21,Not Done"
"0.3,-60.6,-45,Not Done"
"-0.7,-58.8,-95,Not Done"
"-1.6,-52.1,-138,Not Done"
"-2.1,-50.9,-163,Not Done"
"-2.7,-42.3,-189,Not Done"
"-2.5,-2.5,-138,Not Done"
"-1.2,20.0,-43,Not Done"
"-1.3,54.9,-14,Not Done"
"-1.0,79.8,22,Not Done"
"-1.0,67.3,14,Not Done"
"-1.0,56.5,0,Not Done"
"-1.4,63.0,-14,Not Done"
"-0.7,44.2,3,Not Done"
"-1.0,32.9,-24,Not Done"
"-0.9,23.8,-23,Not Done"
"-0.6,38.0,3,Not Done"
"-0.2,32.6,21,Not Done"
"-0.4,23.6,2,Not Done"
